sujeto_pasivo,fecha,duracion_minutos,lugar,materia,asistentes,representado
"Coloma Correa, Juan Antonio",2015-08-11,15,Oficina Senado piso11,Sobre el subsidio de Leasing Habitacional,"Alt Hayal, Marcela",UNIDAD DE LEASING HABITACIONAL S.A.
"Von Baer Jahn, Ena",2015-08-10,30,"MorandÃ© 441, Sede Senado, Santiago",Iniciativa de Transparencia en el Presupuesto Fiscal.,"Von Wolfersdorff, Jeannette",Observatorio del Gasto Fiscal (es una iniciativa en desarrollo que no tiene un RUT)
"Guillier Álvarez, Alejandro",2015-08-10,30,"Morandé 441, tercer piso, sala 3","Avances de proyecto ""Diseño, construcción y operación del centro de tratamiento y disposición final de residuos sólidos domiciliarios y asimilables para la comuna de Antofagasta","Bernstein Guerrero, Rodolfo; Rivas Valdivia, Pedro; ANDRADE CANIBILO, RICHARD LENY",Consorcio Santa Marta S.A.
"Von Baer Jahn, Ena",2015-08-10,40,Oficina Parlamentaria Santiago,"Derecho de autor, autores conexos y propiedad intelectual","Yuraszeck Peñaranda, Nicolás Felipe",Google Chile
"Pérez San Martín, Lily",2015-08-10,60,Senado Santiago,Analizar propuestas para la mejora al sistema de AFP.,"PÉREZ MACKENNA, RODRIGO",RODRIGO PEREZ MACKENNA
"Moreira Barros, Iván",2015-08-10,30,"oficinas del senado, ex congreso nacional",Proyecto de ley sobe Responsabilidad extendida del productor y reciclaje,"NAVECH MARZOLO, ALEJANDRO",ASOCIACIÓN NACIONAL DE INDUSTRIALES DEL RECICLAJE AG
"Moreira Barros, Iván",2015-08-10,60,ex congreso nacional,Proyecto de ley REP y reciclaje,"NAVECH MARZOLO, ALEJANDRO",ASOCIACIÓN NACIONAL DE INDUSTRIALES DEL RECICLAJE AG
"Zaldívar Larraín, Andrés",2015-08-10,30,Oficina Particular,Reforma Laboral,"Swett, Juan Pablo",Asociación de Emprendedores de Chile A.G.
"Moreira Barros, Iván",2015-08-10,40,ex congreso nacional,proyecto de red de gas domiciliario para la región de los lagos,"Turpaud Fernández, Víctor; Cvjetkovic Muñoz, Marcos; Mazo Meza, Bernardita",Metrogas S.A.
"Moreira Barros, Iván",2015-08-10,30,oficinas ex congreso nacional,Presentación de proyecto de red de gas domiciliario para la región de los lagos,"Mazo Meza, Bernardita; Turpaud Fernández, Víctor; Cvjetkovic Muñoz, Marcos",
"Horvath Kiss, Antonio",2015-08-07,30,Oficina Parlamentaria Las Quintas 692,"Proyecto de Ley que modifica el artículo 117 del Código Sanitario, definiendo competencias del Profesional Matrón y Matronas","mansilla, patricia","Capitulo Regional Aysen, Colegio Matronas/es Chile A.G."
"Zaldívar Larraín, Andrés",2015-08-07,30,Oficina Particular,Comentarios de la Asociación de Auditores de Chile en relación al Boletín N° 10.162-05,"Monsalve Assef, Jose; Bunce, Charles; Munro Cabezas, Tatiana; Navarrete Poblete, Patricia Macarena",ASOCIACION DE AUDITORES EXTERNOS DE CHILE A.G
"Lagos Weber, Ricardo",2015-08-07,40,Ex Congreso,Iniciativas que regulan los Institutos Profesionales y Centros de Formación Técnica,"Noda Videa, Patricia; Vargas Otte, Gonzalo","Consejo de Institutos Profesionales y Centros de Formación Técnica Acreditados, Vertebralonsejo de Institutos Profesionales y Centros de Formación Técnica Acreditados, Vertebral"
"Goic Boroevic, Carolina",2015-08-06,30,Oficina de la Senadora ex Congreso Santiago,Exponen sus inquietudes al proyecto de ley de reforma laboral.,"Sandoval Precht, Felipe; Ovalle Andrade, Javier; Vial, Carlos",Asocacion de la Industria del Salmón de Chile AG
"Guillier Álvarez, Alejandro",2015-08-06,60,"Morandé 441, Tercer Piso",Reforma laboral,"Clavero, René; Alvo, Roberto; Del Solar Agüero, Felipe; Gutiérrez, Pablo",Asociación Gremial
"Pizarro Soto, Jorge",2015-08-06,40,MORANDE 441. SANTIAGO,"Reforma Laboral. Se presenta minuta de presentación realizada por SOFOFA en Comisión de Trabajo del Senado.
Se presentan temas principales en relación a equilibrios en proyecto de modernización de relaciones laborales.","Von Muhlenbrock Soto, Hermann; Llugany, José Juan; Swett, Juan Pablo ; Vega Vergara, Javier; Lewin, Gastón",Sociedad de Fomento Fabril
"Pizarro Soto, Jorge",2015-08-06,30,MORANDE 441. SANTIAGO,no se realizó por imposibilidad de asistir los solicitantes,"Somavia, Juan; Purcell, Felipe",Mineria
"Pizarro Soto, Jorge",2015-08-06,30,MORANDE 441 OFICINA EX CONGRESO,"Reforma Laboral. Presentan preocupación por aspectos que contradicen espíritu de la presentación de la Presidenta cuando envió proyecto.
Entregan propuesta específica respecto a presentación realizada 13 de julio en comisión.","Fuentes Gonzalez, Horacio; Soto Roa, Miguel; Murua Saavedra, Jorge; Moraga Villalobos, Daniel; Cortez Guerrera, Eduardo; Galvez Poblete, Antonio; Bustamante Rojas, Roberto",Confederación Nacional de Trabajadores Metalurgicos de la Industria y Servicios
"Zaldívar Larraín, Andrés",2015-08-06,30,Oficina Particular,"Presentarse al Senador Zaldivar, discutir escenario en Chile y las prioridades domésticas.","Gutierrez, Carlos; Velasco, Joel",Carlos Gutierrez
"Pizarro Soto, Jorge",2015-08-06,30,MORANDE 441. SANTIAGO,"Se perenstó situación de Funcionarios del ministerio Público en situación de discriminación laboral. Lo que no permite hacer el trabajo que corresponde en los tiempos por el exceso de causas y la asignación de estas. Son más de 3.500 funcionarios afectados.
Se solicita al Senador intervenir para construir mesa de trabajo con el Ministerio a fin de buscar soluciones en conjunto.","González Galleguillos, Freddy Andrés",Asociación Nacional de Funcionarios del Ministerio Público
"Pizarro Soto, Jorge",2015-08-06,30,MORANDE 441. SANTIAGO,Reforma Laboral. Se presentan apreciaciones en relación al derecho a Huelga por efectos sanitarios en el cultivo de salmones. Se sugiere dotación mínima para equipos de emergencia y que la definición sea entre el total de trabajadores y empresa.,"Sandoval Precht, Felipe; Vial, Carlos; Ovalle Andrade, Javier",Asocacion de la Industria del Salmón de Chile AG
"Chahuán Chahuán, Francisco",2015-08-05,20,Oficina Senador Congreso Nacional Valparaiso,presentación campaña derogación Ley Carrera Docente,"Vega Mejias, Claudia Graciela; Espinoza Cancino, Alejandra Andrea; Ruiz Tagle de la Fuente, Jose Alonso",Sindicato MEC
"Coloma Correa, Juan Antonio",2015-08-05,15,Oficina Senado piso 11,"PRESENTACIÓN DE EXPERIENCIA EN BRASIL EN MATERIA DE OBTENCIÓN DE LICENCIAS DE CONDUCIR Y PROPUESTA DE MEJORAMIENTO DE MÉTODOS EN CHILE, EN BASE A USO DE SIMULADORES","orellana garcia, jesus patricio",petrinovic simumak sa
"Zaldívar Larraín, Andrés",2015-08-05,30,"Congreso Nacional, Valparaiso",Situación sobre unos trabajos  que desean hacer y que involucran a la Región del Maule,"Valencia Eyzaguirre, Aldo; Giacaman Garcia, Sergio",Servicio
"Coloma Correa, Juan Antonio",2015-08-05,20,Oficina Senado piso 11,Comentarios al Proyecto de Ley Comisión de Valores,"Bosler Braun, Christopher; Spencer Ossa, Juan Carlos; Bezanilla Lástrico, Mario",Bolsa de Productos de Chile S.A.
"Sánchez Reyes, Javier Gonzalo",2015-08-05,60,"Oficina del Senador Alfonso De Urresti, Congreso Nacional",Proyecto de Conservación Marina en la Isla de Pascua.,"Bello Maldonado, Maximiliano Esteban; Guala Catalán, Cesar Alejandro",
"Espinoza Astorga  , Luis Fernando",2015-08-04,600,senado,Proyecto de ley que crea el Servicio de Biodiversidad y areas Protegidas. Comentarios indicaciones proyecto.,"Ruiz, Daniela",Daniela Ruiz
"Horvath Kiss, Antonio",2015-08-04,30,"OFICINA SENADOR HORVATH, PISO 9",Eficiencia Energética,"Meyer Gollé, Daniel",Blick Publicidad Ltda
"Ossandón Irarrázabal, Manuel José",2015-08-04,20,Cafetería Senado,Solicitar al Senador hacerse parte del proyecto de Acuerdo  que pide al Ministro de Hacienda se otorgue Pensiones de Gracia a tripulantes exhonerados durante la vigencia de la ley 19.713,"Jimenez Henriquez, Guillermo Antonio; Cartes Candia, Agustin",Agustín Cartes Candia
"Quinteros Lara, Rabindranath",2015-08-04,30,AENADO PISO 12,"Informa posición de ANPROS sobre boletín 10.144 sobre actividad Apícola,  y solicitan ser considerados en la Comisión de Agricultura sobre el mismo tema.","Schindler Maggi, Mario",ASOCIACIÓN GREMIAL NACIONAL DE PRODUCTORES DE SEMILLAS
"Quinteros Lara, Rabindranath",2015-08-04,30,SENADO PISO 12,Plantear posición de AFIPA sobre Boletín 10.144 que regula actividad Apícola y solicitaron ser considerados con invitación a la Comisión de Agricultura,"Lermanda Fuchslocher, María Elvira; Donoso M, Pedro; Luer, Alan; Pizarro, Raúl",AFIPA A.G.
"Pérez San Martín, Lily",2015-08-04,60,Senado Valparaíso,Leasing habitacional,"Alt Hayal, Marcela",UNIDAD DE LEASING HABITACIONAL S.A.
"Pérez San Martín, Lily",2015-08-04,60,Senado Valparaíso,Analizar impacto de proyectos mediambientales.,"Dumont Arenas, Jorge Aquiles",Sopraval SA.
"Pérez San Martín, Lily",2015-08-04,60,Senado Valparaíso,Presentación de proyectos ambientales.,"Landea Lira, Martín José",Sopraval SA.
"Harboe Bascuñán, Felipe",2015-08-03,30,Senado Santiago,Tema: Presentación de METROGAS. Lunes 7 de septiembre a las 10:30 horas. Senado Santiago,"Turpaud Fernández, Víctor; Cvjetkovic Muñoz, Marcos; Mazo Meza, Bernardita",Metrogas S.A.
"Moreira Barros, Iván",2015-08-03,45,ex congreso nacional,PROPUESTA INDICACIONES Proyecto de Ley que Aplica CITES Boletín 6829-01 Comisión Agricultura SENADO,"trujillo aburto, florencia",ecopolis disciplinas integradas
"Coloma Correa, Juan Antonio",2015-08-03,20,Oficina Lota 2328,Presentación de la empresa,"Cvjetkovic Muñoz, Marcos; Mazo Meza, Bernardita; Turpaud Fernández, Víctor",Metrogas S.A.
"Harboe Bascuñán, Felipe",2015-07-31,30,Oficina de Chillán,Proyecto de reforma laboral y los proyectos de desarrollo para la zona de Ñuble. Viernes 31 de julio a las 09:00 horas en oficina de Chillán,"Larenas Del Valle, Ariel; Salman Aburdene, Ricardo Enrique; Sepúlveda Bornand, Enrique Augusto Rogelio; Poblete Castañeda, René Alejandro; Muñoz Ortíz, Darwin Wilson; Cifuentes Caamaño, Gerardo Patricio; Sierra Cisternas, Carlos Segundo; Traslaviña Sánchez, Marcela; Domínguez Pacheco, Solange Andrea",Cámara Chilena de la Construcción
"Arancibia Santibáñez, Cristian",2015-07-30,45,"Senado Santiago. Ex Congreso, Morande 441","Colegio de Matronas AG, solicita tratar sobre Dictamen de Contraloria N° 46. 357, Modificacion articulo 117 Codigo Sanitario.","Roman Morra, Anita; Garcés Illanes, Carmen Gloria; CORDOVA MONGILI, LINA; Lillo González, Eduardo; GONZALEZ GARCIA, CAROLINA",Colegio de Matronas A.G.
"Coloma Correa, Juan Antonio",2015-07-30,20,Oficina Regional,Sin especificación,"Valdes  Sazo, Oscar; Lopez Valenzuela, Erika; Muena Castillo, Cesar",Oscar    Valdes  Sazo.
"Girardi Lavín, Guido",2015-07-30,30,Ex Congreso Nacional,"Se trató el actual programa nacional de inmunización y los desafíos que presenta el programa en torno a las nuevas estrategias de inmunización. A su vez, las recomendaciones que genera OMS y OPS en torno a la integración de nuevas vacunas en base a evidencia científica de costo efectividad y las epidemias emergentes en dengue, malaria, meningitis y otras patologías.","BECKER, LISELOTTE; MASCAREÑAS, CESAR",SANOFI PASTEUR
"Coloma Correa, Juan Antonio",2015-07-30,20,Oficina Regional,"exponerle los acontecimientos ocurridos desde el 10/06/2015; día en que la contraloría general de la república emitió el dictamen 46.357, el cual va en perjuicio directo de nuestra profesión.","Contreras Muñoz, Bárbara",Bárbara Contreras Muñoz
"Allende Bussi, Isabel",2015-07-30,45,"Senado Santiago. Ex Congreso, Morande 441","Dictamen de Contraloría N° 46. 357, Modificación artículo 117 Código Sanitario.","Roman Morra, Anita; Garcés Illanes, Carmen Gloria; CORDOVA MONGILI, LINA; Lillo González, Eduardo; GONZALEZ GARCIA, CAROLINA",Colegio de Matronas A.G.
"Harboe Bascuñán, Felipe",2015-07-29,30,Oficina de Chillán,"Norma 21; Proyecto de ley: Modificación artículo 117 del Código Sanitario. Dictamen de Contraloría 46.357. Miércoles 29 de julio a las 16:00 horas, Oficina de Chillán","SUAZO BARRIGA, NICOLE; Peña Cadiz, Alejandro; Estrada Aburto, Eileen; Nieto Espinoza, Rodrigo; Fornerod Opazo, Josue",Colegio de Matronas
"Goic Boroevic, Carolina",2015-07-29,30,Oficina parlamentaria Senadora,Exponen inquietudes sobre las modificaciones a la ley de pesca,"Infante Larraguibel, Juan Eduardo",Globalpesca SpA
"Goic Boroevic, Carolina",2015-07-29,30,Oficina Parlamentaria Senadora - ChiloÃ© 755,Entregaron sus observaciones e inquietudes al proyecto de ley en trámite de Reforma Laboral,"GYSLING B., JAN; PRIETO K., CRISTIAN; Cárdenas Guajardo, Carlos; Duran Guzman, Rodrigo Alonso",Cámara Chilena de la Construcción
"Pérez Varela, Víctor",2015-07-28,60,Obispado de ChillÃ¡n,Proyecto sobre aborto,"Valdés Pereira, Pablo",ÑUBLE POR LA VIDA
"Pérez Varela, Víctor",2015-07-28,60,5 de abril 335,Proyecto de Reforma Laboral y proyecto sobre espacios públicos y su indicación sustitutiva,"Larenas Del Valle, Ariel; Salman Aburdene, Ricardo Enrique; Sepúlveda Bornand, Enrique Augusto Rogelio; Poblete Castañeda, René Alejandro; Muñoz Ortíz, Darwin Wilson; Cifuentes Caamaño, Gerardo Patricio; Sierra Cisternas, Carlos Segundo; Carrasco Hurtado, Hugo Ricardo; Traslaviña Sánchez, Marcela; Domínguez Pacheco, Solange Andrea",Cámara Chilena de la Construcción
"Walker Prieto, Patricio",2015-07-28,30,Presidencia Senado Santiago,Presentación del Directorio y temas generales,"Musa Poblete, Fuad; Chacoff Pino, Kaffo; Vidal Aroca, Jaime; El Sayed Saleh, Mohamad",Comunidad Musulmana de Chile
"Pérez Varela, Víctor",2015-07-28,60,"Oficina parlamentaria ChillÃ¡n, Vega de SaldÃ­as 437",Proyecto de generación de energía,"gallardo fuenzalida, juan eduardo",central el campesino sa
"Goic Boroevic, Carolina",2015-07-28,20,ex Congreso en Santiago - Oficina Senadora,Son atendidos por el asesor en materia laboral de la Senadora señor Juan Pablo Severín. Los interesados entregan minuta con la posición de ANADI respecto de la reforma laboral y la atención de diálisis. Exponen sus preocupaciones especialmente en lo relativo a la huelga y los servicios mínimos.,"Del Solar Agüero, Felipe; Alvo, Roberto",Asociación Gremial
"Walker Prieto, Patricio",2015-07-28,30,Presidencia Santiago Senado,Ley Ricarte Soto.  crea fondo solidario respaldado por el Estado para financiar tratamientos de alto costo e introduce cambio en regulación de  ensayos clínicos.,"Nevares, Richard; Duhart Suarez, Jean-Jacques",Presidente CIF/ Gerente General SANOFI
"Quintana Leal, Jaime",2015-07-28,25,Morande 441,Senador escuchó planteamiento sobre proyecto de ley para conferir el título profesional a las carreras de construcción civil e ingeniería en construcción,"Correa Alliende, José Miguel",Colegio de Constructores Civiles e Ingenieros Constructores A.G.
"Quintana Leal, Jaime",2015-07-28,25,MorandÃ© 441,"Parlamentario recibió observaciones, por parte de la Asociación Gremial de Diálisis, al proyecto de ley que ""Moderniza el sistema de relaciones laborales, introduciendo  modificaciones  al Código del Trabajo"", (Boletín 9835-13)","Del Solar Agüero, Felipe; Alvo, Roberto",Asociación Gremial
"Von Baer Jahn, Ena",2015-07-27,60,Edificio Prales Oficina 710-D Valdivia,Plantean su posición respecto al conflicto de la matronería a raíz del Dictamen Nº 46357 de la CGR del 10.06.2015 y sobre el proyecto de ley que modifica el art. 117 Código Sanitario.,"López López, Carolina; Poblete Erices, Johanna; Saldivia Sanchez, Edith Jacqueline; Alvarado Mercado, Jaqueline ; Manzo Armijo, Alejandra",Johanna Poblete Erices
"Walker Prieto, Patricio",2015-07-27,30,Presidencia Senado Santiago,Reforma Laboral,"Von Muhlenbrock Soto, Hermann; Swett, Juan Pablo ; Vega Vergara, Javier; Llugany, José Juan; Lewin, Gastón",Sociedad de Fomento Fabril
"Walker Prieto, Patricio",2015-07-27,30,Presidencia Senado Santiago,Presentar  opinión sobre el proyecto de Ley del Aborto,"Puga Vial, Manuel",CAM
"Ossandón Irarrázabal, Manuel José",2015-07-27,45,Oficina Senador Ex Congreso - Morandé 441,"presentar el caso del ex funcionario Eduardo Pinilla Narváez, exonerado de la Policiía de Investigaciones de Chile, que no ha recibido una asignación de un 30% que tenía derecho, pero que se ha desconocido el derecho a pago.","Pinilla Moena, Eduardo Rodrigo Andrés; Moena Wolleter, María Elena; Pinilla Narváez, Eduardo Rodrigo",00000000000000000000000
"Van Rysselberghe Herrera, Jacqueline",2015-07-27,105,Sede parlamentaria Angol N° 365,Situación laboral de la siderúrgica Huachipato y el futuro de las empresas CAP.,"gutierrez, Pedro",pedro Gutierrez Diaz
"Ossandón Irarrázabal, Manuel José",2015-07-27,60,Oficina Senador Ex Congreso - MorandÃ© 441,Se escucharon las preocupaciones del grupo por la situación política y social actual en el país.,"García de la Huerta, María Carolina",Quiñenco S.A.
"Guillier Álvarez, Alejandro",2015-07-27,30,Ex Congreso Nacional,Reformas laborales,"SEPULVEDA TOLEDO, PEDRO; SALAZAR FONSECA, JAIME; MUÑOZ RAMIREZ, CLAUDIA; SERRANO MARTINEZ, ENRIQUE; ESPINOZA TORRES, JUSTO; VERGARA MONTOYA, JUAN",SINDICATO DE PROFESIONALES Y TECNICOS DE AGUAS ANDINAS
"De Urresti Longton, Alfonso",2015-07-23,60,"Edificio Facultad de Ciencias Forestales, Sala 401, 4° Piso, Isla Teja, Universidad Austral de Chile",Entregar antecedentes científicos sobre los efectos de la prórroga del DL 701 sobre fomento forestal.,"Barboza, Olga; Gutiérrez, Alvaro; Jimenez, Mylthon; Zamorano, Carlos",Antonio Lara Aguilar
"Ossandón Irarrázabal, Manuel José",2015-07-23,60,Balmaceda 265,"Dar a conocer la necesidad de mejorar la hidratación de los deportistas en general, a la hora de desarrollar actividades deportivas. Para lo anterior se presenta  un producto llamado ""AGUA PARA DEPORTISTAS"" (de marca comercial VERTEAUX), que cumple las funciones hidratantes de forma natural. Se solicita además, orientación en el desarrollo y relación de esta necesidad en el sector público.","López Fernandez, Jorge Alejandro",Jorge Lopez Fernandez
"Goic Boroevic, Carolina",2015-07-23,20,Oficina Senadora en ex Congreso en Santiago,"Exponen sus inquietudes sobre las mesas de negociación tripartitas (Ministerio, Asociación Chilena de Municipalidades y Asociaciones de  funcionarios de atención primaria municipal) dado que en el año 2014 el Ministerio de Salud realizó mesas separadas. Por lo que solicitan, que en el ingreso de los proyectos al Congreso (emanados de estas negociaciones) sean considerados la COTRASAM y la CONFUSAM para las respectivas discusiones legislativas.","Pérez Morales, Lorena; Canales Massó, Loreto; Yevenes Navarrete, Victor",
"Walker Prieto, Patricio",2015-07-23,30,Presidencia Senado Santiago,Reformas legislativas en temas de Infancia,"Del Gatto Reyes, Delia; Murillo, José Andrés; Gajardo, Nury; Beroggi, Andres; Valverde Mosquera, Francis Elizabeth",Bloque por la Infancia
"Moreira Barros, Iván",2015-07-22,60,"oficina del senador moreira, senado de la república",Proyecto de ley de responsabilidad extendida del produtor,"Moreno Guzmán, Francisco; Caviedes, Alvaro ; González Bañados, Natalia Andrea; Díaz Cauquelin, Juan Jaime",Asociación Nacional de la Prensa A.G.
"Espina Otero, Alberto",2015-07-22,60,Senado,"A manifestar su rechazo respecto a la incorporación de la prensa en el artículo 9 que regula los productos prioritarios en la ley que actualmente esta en la comisión de medio ambiente, que establece la gestión de residuos y la responsabilidad extendida del productor. Boletín 9094-12","Moreno Guzmán, Francisco; Díaz Cauquelin, Juan Jaime; Caviedes, Alvaro ; González Bañados, Natalia Andrea",Asociación Nacional de la Prensa A.G.
"Horvath Kiss, Antonio",2015-07-22,40,"OFICINA SENADOR HORVATH, PISO 9","En la audiencia fueron atendidos por el Asesor don Fernando Navarro. Solicitan apoyo para propuesta de Boletin N° 10.911-11, que busca explicitar el Art. 117 del Código Sanitario","GONZALEZ GARCIA, CAROLINA; TORO ARAYA, ALEJANDRO; CORDOVA MONGILI, LINA; LEIVA, MARIA JOSE",Colegio de Matronas
"Matta Aragay, Manuel Antonio",2015-07-22,0,SENADO DE LA REPUBLICA,REFORMA LABORAL,"Díaz, Nolberto; Figueroa, Bárbara; Urrutia, Claudio; Vega, Valentín; Requena, Julio",NOLBERTO DÍAZ
"Guillier Álvarez, Alejandro",2015-07-22,20,CONGRESO NACIONAL,"DICTAMEN DE CONTRALORIA GENERAL DE LA REPUBLICA 46.357
NORMA 21 DE MATROMERÍA
ACTUALIZACIÓN DE CÓDIGO SANITARIO, ART. 117 DE MATRONERÍA","GONZALEZ GARCIA, CAROLINA; CORDOVA MONGILI, LINA",Colegio de Matronas
"Horvath Kiss, Antonio",2015-07-22,20,"COMITE INDEPENDIENTE, PISO 2 SENADO",Efectos de la aprobación del proeycto de ley Responsabilidad Extendida del productor (REP) Boletin 9094-12 en la libertad de expresión y la libertad de prensa.,"Moreno Guzmán, Francisco; Caviedes, Alvaro ; Díaz Cauquelin, Juan Jaime; González Bañados, Natalia Andrea",Asociación Nacional de la Prensa A.G.
"Walker Prieto, Patricio",2015-07-22,60,"Comedor Presidencia Senado, Valparaíso",Reforma Laboral,"Díaz, Nolberto; Figueroa, Bárbara; Urrutia, Claudio; Vega, Valentín; Requena, Julio",Central Única de Trabajadores
"Goic Boroevic, Carolina",2015-07-22,80,Senado Valparaíso,Intercambio de visiones sobre el proyecto de ley que moderniza las relaciones laborales (Reforma Laboral),"Díaz, Nolberto; Figueroa, Bárbara; Vega, Valentín; Urrutia, Claudio; Requena, Julio",Nolberto Díaz - CUT
"Guillier Álvarez, Alejandro",2015-07-22,30,Congreso Nacional,Reforma laboral,"Tapia Valderrama, Bernardo Enrrique; Marambio Morales, Victor Hugo",sindicato Nº2 de ENAER
"Ossandón Irarrázabal, Manuel José",2015-07-22,15,Oficina Senador Congreso Nacional Valparaíso,"DICTAMEN 46.357 DEL 10 DE JULIO DE 2015
PROYECTO DE LEY DEL CODIGO SANITARIO. ARTICULO 117
DOSSIER RESPALDO TECNICO MATRONERIA","GONZALEZ GARCIA, CAROLINA; CORDOVA MONGILI, LINA; LEIVA, MARIA JOSE; TORO ARAYA, ALEJANDRO",CAROLINA GONZALEZ GARCIA
"Montes Cisternas, Carlos",2015-07-22,20,Congreso Nacional,Expresan inquietud frente a efectos de la reforma laboral en continuidad de atención de pacientes.,"Gutiérrez, Pablo; Clavero, René; Alvo, Roberto; Del Solar Agüero, Felipe",Asociación Gremial
"Araya Guerrero, Pedro",2015-07-22,30,Piso 13 Senado,Posición de la empresa de telecomunicaciones ante proyecto que modifica la ley que regula el SERNAC.,"Simonsohn, Felipe",Empresa Nacional de Telecomunicaciones S.A.
"Araya Guerrero, Pedro",2015-07-22,60,Piso 14 Senado,Reforma laboral en trámite.,"Urrutia, Claudio; Díaz, Nolberto; Figueroa, Bárbara; Vega, Valentín; Requena, Julio",CUT
"Harboe Bascuñán, Felipe",2015-07-22,30,Senado Valparaíso,"Ley de Pesca. Miércoles 22 de julio a las 12:15 horas, Senado Valparaíso","Rodriguez Contreras, Pedro; Morales Lartiga, Raul; Salazar Herrera, Pedro; Manriquez Duran, Fabian Gustavo; Sanhueza Brevis, Paola; Ocampo Gomez, Patricia Eugenia; Arevalo Reyes, Alfonso Ivan; Vera Gonzalez, Sergio",FESTRACH
"Goic Boroevic, Carolina",2015-07-22,20,Oficina Congreso Nacional Santiago,"Son atendidos por Gerardo Bascuñan, asesor legislativo. Exponen inquietudes y preocupaciones respecto al ejercicio de derechos colectivos del trabajo en el Ministerio Público.","Olea Torres, Hugo; Carvallo, Claudio; Trujillo Urbina, Fabio Sebastian; Acuña, Ignacio; Cesped Flores, Natalia",FEDERACION NACIONAL MINISTERIO PUBLICO
"Ossandón Irarrázabal, Manuel José",2015-07-21,120,Pasaje Mataveri8872,"Reunión para exponer nuestro caso y obtener apoyo para mantención de portones de acceso al Pasaje, por cambio de Ordenanza Municipal de Cierre de Calles y Pasajes. Esto es debido al cambio que realizó la municipalidad de La Florida en su Ordenanza N°87 con relación a la modificación de la Ley de Cierre de Calles y Pasajes.","De la Jara, David; De la Jara, Katerina; Morales, Waldo",Comunidad Mataveri
"Goic Boroevic, Carolina",2015-07-21,20,Oficina de la Senadora en el Congreso en ValparaÃ­so,Presentación de programa de bebidas light,"Bezanilla, Pelayo; Calorio, Paola",Coca-Cola de Chile S.A.
"Lagos Weber, Ricardo",2015-07-21,20,Congreso Nacional,Presentan planes para posicionar e incentivar el consumo de bebidas bajas en calorías,"Bezanilla, Pelayo; Calorio, Paola; Flores, Miguel",Coca-Cola de Chile S.A.
"Walker Prieto, Ignacio",2015-07-21,30,OFICINA SENADO,Informar Proyectos Expansión ENAMI,"SAN MARTIN TRUFFY, EUGENIO; farfan borquez, patricio; bickell, rodolfo",EMPRESA NACIONAL DEL PETROLEO
"Pérez San Martín, Lily",2015-07-21,60,Senado Valparaíso,Difusión proyecto plan de riego cuencas de los ríos Petorca y La Ligua financiado por la Comisión Nacional de Riego,"Valenzuela López, Natacha",Natacha Valenzuela
"Goic Boroevic, Carolina",2015-07-21,30,Oficina de la Senadora en el Congreso Valparaíso,"Han sido recibidos por Asesor Legislativo, don Gerardo Bascuñán. Solicitan apoyo en la presentación de una propuesta legislativa que declare la desafectación del personal civil de las Fuerzas Armadas que hayan prestado servicios con anterioridad a la fecha de la publicación de la Ley N° 18.476, del Sistema Previsional establecido en el Decreto Ley N°3500, de 1980, e incorporarlos a la Caja de Previsión de la Defensa Nacional, con el objeto de que sus pensiones se paguen con cargo a dicha Caja.","Garin Donoso, Monica del Carmen; gajardo, rene; leiva, alvaro",monica garin donoso
"Goic Boroevic, Carolina",2015-07-21,40,Dependencias del ex Congreso en Santiago,Expuso las observaciones y alcances del gremio a la reforma laboral en curso.,"ROMAN, ENRIQUE","CONFEDERACION NACIONAL DE LA MICRO, PEQUEÑA Y MEDIANA EMPRESA DE CHILE"
"Allamand Zavala, Andrés",2015-07-20,30,"Ex Congreso Nacional, Senado piso 5","1.-El señor Luis Villarroel comienza la reunión explicando a quienes representan, la cobertura en matriculas y docentes involucrados en esta agrupación.
2.- Expresan su preocupación por no estar considerados en el nuevo proyecto de ley educacional, al ser considerados CFT con lucro.
3.- Solicitan ayuda al Senador  para que los CFT del Cruch puedan continuar ejerciendo su labor accediendo a becas y beneficios del Estado.","Vidal Bracho, José Luis; Villarroel Ganga, Luis Enrique",CFT Universidad de Valparaíso
"Ossandón Irarrázabal, Manuel José",2015-07-20,0,Oficina Senador Ex Congreso - Morandé 441,Explicar situación y Proyecto para la Región de Arica y Parinacota.,"AVELLO ARANDA, JORGE",JORGE AVELLO ARANDA
"Ossandón Irarrázabal, Manuel José",2015-07-20,60,CALLE SAN JOSE 1053,DISCUSION SOBRE PROBLEMATICAS DEL CANCER,"TOLEDO, ANTONIA",ANTONIA TOLEDO
"Walker Prieto, Ignacio",2015-07-20,60,OFICINAS SOFOFA,TEMAS SOBRE REFORMA LABORAL.,"Von Muhlenbrock Soto, Hermann; Munita Luco, Enrique; Saez Carlier, Felipe; Luis Lizama Portal, Luis Lizama Portal; Boada Campos, Carlos; Vega Vergara, Javier",Sociedad de Foemnto Fabril
"Allende Bussi, Isabel",2015-07-17,30,Congreso Nacional,CORFO SQM PREOCUPACIÓN DE TRABAJADORES,"VILCHES AROS, WILFREDO; TAPIA MAYA, MARCELO; PAREDES AGUIRRE, LUIS; AGUIRRE POBLETE, LUIS; CIFUENTES BOYD, CARMEN; TRONCOSO BARRAZA, GUILLERMO; ROBLES CORTES, JUAN",FEDERACION DEL SALITRE
